,0
2016-01-24,35.934452867037365
2016-01-31,38.49148281491254
2016-02-07,37.69745092981678
2016-02-14,42.35700176644822
2016-02-21,45.4014277401592
2016-02-28,46.356365963661375
2016-03-06,50.64559665026211
2016-03-13,54.25373406518801
2016-03-20,56.77228214742632
2016-03-27,67.19883244083903
2016-04-03,70.07838879284218
2016-04-10,78.37006492347797
2016-04-17,71.09412274252605
2016-04-24,73.44996775306043
2016-05-01,83.71394728624591
2016-05-08,82.97200700370877
2016-05-15,84.64377425627771
2016-05-22,86.2099042574019
2016-05-29,86.30069757205891
2016-06-05,91.89318596091059
2016-06-12,91.20043546264519
2016-06-19,88.89190187450286
2016-06-26,91.49602500268674
2016-07-03,94.48101639444263
2016-07-10,89.66453714325431
2016-07-17,91.52305733210615
2016-07-24,94.01180411739992
